name,description,price,image,compatibleModels,sku
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 11,ANT-IPH-11
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 11 Pro,ANT-IPH-11P
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 11 Pro Max,ANT-IPH-11P-MAX
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 12,ANT-IPH-12
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 12 Pro Max,ANT-IPH-12P-MAX
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 13,ANT-IPH-13
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 13 Pro,ANT-IPH-13P
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 13 Pro Max,ANT-IPH-13P-MAX
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 14,ANT-IPH-14
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 14 Pro,ANT-IPH-14P
Black Antique,"Case Features: Comfortable finger loop that can be used with either hand,
 Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added),
 Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,null,iPhone 14 Pro Max,ANT-IPH-14P-MAX